priority,net,endpoints,reason,suggested_test,status
MED,verify:IC7,IC7,"AI-added, moderate confidence 0.55; sheet 1 @ (2589,2871)","Locate chip IC7 on the PCB and read the printed part number. Expect '74LS04'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC77,IC77,"AI-added, moderate confidence 0.60; sheet 1 @ (1865,389)","Locate chip IC77 on the PCB and read the printed part number. Expect '74LS139'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC78,IC78,"AI-added, moderate confidence 0.70; sheet 1 @ (1309,446)","Locate chip IC78 on the PCB and read the printed part number. Expect '74LS244'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC79,IC79,"AI-added, moderate confidence 0.55; sheet 1 @ (1313,894)","Locate chip IC79 on the PCB and read the printed part number. Expect '74LS244'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC87,IC87,"AI-added, moderate confidence 0.75; sheet 2 @ (1760,1308)","Locate chip IC87 on the PCB and read the printed part number. Expect '74LS245'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC88,IC88,"AI-added, moderate confidence 0.75; sheet 2 @ (679,1308)","Locate chip IC88 on the PCB and read the printed part number. Expect '74LS157'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC89,IC89,"AI-added, moderate confidence 0.75; sheet 2 @ (1348,517)","Locate chip IC89 on the PCB and read the printed part number. Expect '2764'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC90,IC90,"AI-added, moderate confidence 0.55; sheet 1 @ (1860,678)","Locate chip IC90 on the PCB and read the printed part number. Expect 'PAL16L8'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC91,IC91,"AI-added, moderate confidence 0.55; sheet 1 @ (950,279)","Locate chip IC91 on the PCB and read the printed part number. Expect 'Z80'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC92a,IC92a,"AI-added, moderate confidence 0.55; sheet 1 @ (2835,2213)","Locate chip IC92a on the PCB and read the printed part number. Expect '74LS32'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC92c,IC92c,"AI-added, moderate confidence 0.60; sheet 1 @ (3958,1465)","Locate chip IC92c on the PCB and read the printed part number. Expect '74LS32'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC92d,IC92d,"AI-added, moderate confidence 0.60; sheet 1 @ (3143,515)","Locate chip IC92d on the PCB and read the printed part number. Expect '74LS32'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC93a,IC93a,"AI-added, moderate confidence 0.60; sheet 1 @ (2995,1529)","Locate chip IC93a on the PCB and read the printed part number. Expect '74LS74'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC93b,IC93b,"AI-added, moderate confidence 0.60; sheet 1 @ (3395,1526)","Locate chip IC93b on the PCB and read the printed part number. Expect '74LS74'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC94a,IC94a,"AI-added, moderate confidence 0.60; sheet 1 @ (3971,2146)","Locate chip IC94a on the PCB and read the printed part number. Expect '74LS86'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC94c,IC94c,"AI-added, moderate confidence 0.60; sheet 1 @ (3957,1710)","Locate chip IC94c on the PCB and read the printed part number. Expect '74LS86'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC94d,IC94d,"AI-added, moderate confidence 0.60; sheet 1 @ (3965,1990)","Locate chip IC94d on the PCB and read the printed part number. Expect '74LS86'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:IC99,IC99,"AI-added, moderate confidence 0.75; sheet 2 @ (3708,1386)","Locate chip IC99 on the PCB and read the printed part number. Expect '82S129'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:LED1,LED1,"AI-added, moderate confidence 0.55; sheet 1 @ (780,540)","Locate chip LED1 on the PCB and read the printed part number. Expect 'LED'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:LED2,LED2,"AI-added, moderate confidence 0.65; sheet 2 @ (4119,1220)","Locate chip LED2 on the PCB and read the printed part number. Expect 'LED'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R2,R2,"AI-added, moderate confidence 0.55; sheet 1 @ (3426,629)","Locate chip R2 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R29,R29,"AI-added, moderate confidence 0.55; sheet 1 @ (744,671)","Locate chip R29 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R3,R3,"AI-added, moderate confidence 0.60; sheet 1 @ (1753,2376)","Locate chip R3 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R30,R30,"AI-added, moderate confidence 0.55; sheet 1 @ (578,1005)","Locate chip R30 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R31,R31,"AI-added, moderate confidence 0.55; sheet 1 @ (536,896)","Locate chip R31 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R32,R32,"AI-added, moderate confidence 0.55; sheet 1 @ (426,898)","Locate chip R32 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R5,R5,"AI-added, moderate confidence 0.55; sheet 1 @ (678,1248)","Locate chip R5 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:R7,R7,"AI-added, moderate confidence 0.55; sheet 1 @ (604,547)","Locate chip R7 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:RA,RA,"AI-added, moderate confidence 0.55; sheet 1 @ (849,744)","Locate chip RA on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:RA6b,RA6b,"AI-added, moderate confidence 0.55; sheet 1 @ (795,1512)","Locate chip RA6b on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:RP42,RP42,"AI-added, moderate confidence 0.55; sheet 1 @ (2371,2886)","Locate chip RP42 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
MED,verify:RP46,RP46,"AI-added, moderate confidence 0.55; sheet 1 @ (844,1514)","Locate chip RP46 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
LOW,AD0,IC76.10;IC89.10;IC103.10;IC114.8;IC88.6,spot-check,Power-off DMM continuity: IC76.10 ↔ IC89.10; IC76.10 ↔ IC103.10; IC76.10 ↔ IC114.8; IC76.10 ↔ IC88.6 should all beep.,open
LOW,AD1,IC76.9;IC89.9;IC103.9;IC114.7;IC88.3,spot-check,Power-off DMM continuity: IC76.9 ↔ IC89.9; IC76.9 ↔ IC103.9; IC76.9 ↔ IC114.7; IC76.9 ↔ IC88.3 should all beep.,open
LOW,AD10,IC76.21;IC89.21;IC103.21;IC114.19;IC113.10,spot-check,Power-off DMM continuity: IC76.21 ↔ IC89.21; IC76.21 ↔ IC103.21; IC76.21 ↔ IC114.19; IC76.21 ↔ IC113.10 should all beep.,open
LOW,AD11,IC76.23;IC89.23;IC103.23,spot-check,Power-off DMM continuity: IC76.23 ↔ IC89.23; IC76.23 ↔ IC103.23 should all beep.,open
LOW,AD12,IC76.2;IC89.2;IC103.2,spot-check,Power-off DMM continuity: IC76.2 ↔ IC89.2; IC76.2 ↔ IC103.2 should all beep.,open
LOW,AD2,IC76.8;IC89.8;IC103.8;IC114.6;IC88.10,spot-check,Power-off DMM continuity: IC76.8 ↔ IC89.8; IC76.8 ↔ IC103.8; IC76.8 ↔ IC114.6; IC76.8 ↔ IC88.10 should all beep.,open
LOW,AD3,IC76.7;IC89.7;IC103.7;IC114.5;IC88.13,spot-check,Power-off DMM continuity: IC76.7 ↔ IC89.7; IC76.7 ↔ IC103.7; IC76.7 ↔ IC114.5; IC76.7 ↔ IC88.13 should all beep.,open
LOW,AD4,IC76.6;IC89.6;IC103.6;IC114.4;IC102.6,spot-check,Power-off DMM continuity: IC76.6 ↔ IC89.6; IC76.6 ↔ IC103.6; IC76.6 ↔ IC114.4; IC76.6 ↔ IC102.6 should all beep.,open
LOW,AD5,IC76.5;IC89.5;IC103.5;IC114.3;IC102.3,spot-check,Power-off DMM continuity: IC76.5 ↔ IC89.5; IC76.5 ↔ IC103.5; IC76.5 ↔ IC114.3; IC76.5 ↔ IC102.3 should all beep.,open
LOW,AD6,IC76.4;IC89.4;IC103.4;IC114.2;IC102.10,spot-check,Power-off DMM continuity: IC76.4 ↔ IC89.4; IC76.4 ↔ IC103.4; IC76.4 ↔ IC114.2; IC76.4 ↔ IC102.10 should all beep.,open
LOW,AD7,IC76.3;IC89.3;IC103.3;IC114.1;IC102.13,spot-check,Power-off DMM continuity: IC76.3 ↔ IC89.3; IC76.3 ↔ IC103.3; IC76.3 ↔ IC114.1; IC76.3 ↔ IC102.13 should all beep.,open
LOW,AD8,IC76.25;IC89.25;IC103.25;IC113.6;IC114.23,spot-check,Power-off DMM continuity: IC76.25 ↔ IC89.25; IC76.25 ↔ IC103.25; IC76.25 ↔ IC113.6; IC76.25 ↔ IC114.23 should all beep.,open
LOW,AD9,IC76.24;IC89.24;IC103.24;IC114.22;IC113.13,spot-check,Power-off DMM continuity: IC76.24 ↔ IC89.24; IC76.24 ↔ IC103.24; IC76.24 ↔ IC114.22; IC76.24 ↔ IC113.13 should all beep.,open
LOW,BIT0,IC110.13;IC99.5,spot-check,Power-off DMM continuity: IC110.13 ↔ IC99.5 should all beep.,open
LOW,BIT0_SR_IN_0,IC111.9;IC110.2,spot-check,Power-off DMM continuity: IC111.9 ↔ IC110.2 should all beep.,open
LOW,BIT0_SR_IN_1,IC111.10;IC110.3,spot-check,Power-off DMM continuity: IC111.10 ↔ IC110.3 should all beep.,open
LOW,BIT0_SR_IN_2,IC111.11;IC110.4,spot-check,Power-off DMM continuity: IC111.11 ↔ IC110.4 should all beep.,open
LOW,BIT0_SR_IN_3,IC111.13;IC110.5,spot-check,Power-off DMM continuity: IC111.13 ↔ IC110.5 should all beep.,open
LOW,BIT0_SR_IN_4,IC111.14;IC110.10,spot-check,Power-off DMM continuity: IC111.14 ↔ IC110.10 should all beep.,open
LOW,BIT0_SR_IN_5,IC111.15;IC110.11,spot-check,Power-off DMM continuity: IC111.15 ↔ IC110.11 should all beep.,open
LOW,BIT0_SR_IN_6,IC111.16;IC110.12,spot-check,Power-off DMM continuity: IC111.16 ↔ IC110.12 should all beep.,open
LOW,BIT0_SR_IN_7,IC111.17;IC110.14,spot-check,Power-off DMM continuity: IC111.17 ↔ IC110.14 should all beep.,open
LOW,BIT1,IC121.13;IC99.6,spot-check,Power-off DMM continuity: IC121.13 ↔ IC99.6 should all beep.,open
LOW,BIT1_SR_IN_0,IC122.9;IC121.2,spot-check,Power-off DMM continuity: IC122.9 ↔ IC121.2 should all beep.,open
LOW,BIT1_SR_IN_1,IC122.10;IC121.3,spot-check,Power-off DMM continuity: IC122.10 ↔ IC121.3 should all beep.,open
LOW,BIT1_SR_IN_2,IC122.11;IC121.4,spot-check,Power-off DMM continuity: IC122.11 ↔ IC121.4 should all beep.,open
LOW,BIT1_SR_IN_3,IC122.13;IC121.5,spot-check,Power-off DMM continuity: IC122.13 ↔ IC121.5 should all beep.,open
LOW,BIT1_SR_IN_4,IC122.14;IC121.10,spot-check,Power-off DMM continuity: IC122.14 ↔ IC121.10 should all beep.,open
LOW,BIT1_SR_IN_5,IC122.15;IC121.11,spot-check,Power-off DMM continuity: IC122.15 ↔ IC121.11 should all beep.,open
LOW,BIT1_SR_IN_6,IC122.16;IC121.12,spot-check,Power-off DMM continuity: IC122.16 ↔ IC121.12 should all beep.,open
LOW,BIT1_SR_IN_7,IC122.17;IC121.14,spot-check,Power-off DMM continuity: IC122.17 ↔ IC121.14 should all beep.,open
LOW,CG0,IC112.2;IC111.5;IC122.5,spot-check,Power-off DMM continuity: IC112.2 ↔ IC111.5; IC112.2 ↔ IC122.5 should all beep.,open
LOW,CG1,IC112.5;IC111.4;IC122.4,spot-check,Power-off DMM continuity: IC112.5 ↔ IC111.4; IC112.5 ↔ IC122.4 should all beep.,open
LOW,CG2,IC112.6;IC111.3;IC122.3;IC100.11,spot-check,Power-off DMM continuity: IC112.6 ↔ IC111.3; IC112.6 ↔ IC122.3; IC112.6 ↔ IC100.11 should all beep.,open
LOW,CG3,IC112.9;IC111.2;IC122.2;IC100.13,spot-check,Power-off DMM continuity: IC112.9 ↔ IC111.2; IC112.9 ↔ IC122.2; IC112.9 ↔ IC100.13 should all beep.,open
LOW,CG4,IC112.12;IC111.1;IC122.1;IC100.14,spot-check,Power-off DMM continuity: IC112.12 ↔ IC111.1; IC112.12 ↔ IC122.1; IC112.12 ↔ IC100.14 should all beep.,open
LOW,CG5,IC112.15;IC111.23;IC122.23;IC100.3,spot-check,Power-off DMM continuity: IC112.15 ↔ IC111.23; IC112.15 ↔ IC122.23; IC112.15 ↔ IC100.3 should all beep.,open
LOW,CG6,IC112.16;IC111.22;IC122.22;IC100.4,spot-check,Power-off DMM continuity: IC112.16 ↔ IC111.22; IC112.16 ↔ IC122.22; IC112.16 ↔ IC100.4 should all beep.,open
LOW,CG7,IC112.19;IC111.19;IC122.19;IC100.6,spot-check,Power-off DMM continuity: IC112.19 ↔ IC111.19; IC112.19 ↔ IC122.19; IC112.19 ↔ IC100.6 should all beep.,open
LOW,COLOR_PROM_A2,IC100.10;IC99.7,spot-check,Power-off DMM continuity: IC100.10 ↔ IC99.7 should all beep.,open
LOW,COLOR_PROM_A3,IC100.12;IC99.4,spot-check,Power-off DMM continuity: IC100.12 ↔ IC99.4 should all beep.,open
LOW,COLOR_PROM_A4,IC100.15;IC99.3,spot-check,Power-off DMM continuity: IC100.15 ↔ IC99.3 should all beep.,open
LOW,COLOR_PROM_A5,IC100.2;IC99.2,spot-check,Power-off DMM continuity: IC100.2 ↔ IC99.2 should all beep.,open
LOW,COLOR_PROM_A6,IC100.5;IC99.1,spot-check,Power-off DMM continuity: IC100.5 ↔ IC99.1 should all beep.,open
LOW,COLOR_PROM_A7,IC100.7;IC99.15,spot-check,Power-off DMM continuity: IC100.7 ↔ IC99.15 should all beep.,open
LOW,CS0_BAR,IC76.20,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,CS2_BAR,IC89.20,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,CS4_BAR,IC103.20,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,CSF_BAR,IC114.18,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,FIX_DIR,IC87.1;IC113.3,spot-check,Power-off DMM continuity: IC87.1 ↔ IC113.3 should all beep.,open
LOW,H5,IC88.11,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,H6,IC88.14,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,H7,IC102.5,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,IC113_4_IC101_20,IC113.4;IC101.20;IC87.19,spot-check,Power-off DMM continuity: IC113.4 ↔ IC101.20; IC113.4 ↔ IC87.19 should all beep.,open
LOW,IC68_15_IC69_1,IC88.15,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,IC92_8_IC69_2,IC102.15,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,PLBF,IC99.9,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,RD_BAR,IC76.22;IC89.22;IC103.22;IC114.20,spot-check,Power-off DMM continuity: IC76.22 ↔ IC89.22; IC76.22 ↔ IC103.22; IC76.22 ↔ IC114.20 should all beep.,open
LOW,SER_CLEAR,IC110.9;IC121.9,spot-check,Power-off DMM continuity: IC110.9 ↔ IC121.9 should all beep.,open
LOW,SER_LOAD,IC110.15;IC121.15;IC100.9,spot-check,Power-off DMM continuity: IC110.15 ↔ IC121.15; IC110.15 ↔ IC100.9 should all beep.,open
LOW,V0,IC111.8;IC122.8,spot-check,Power-off DMM continuity: IC111.8 ↔ IC122.8 should all beep.,open
LOW,V1,IC111.7;IC122.7,spot-check,Power-off DMM continuity: IC111.7 ↔ IC122.7 should all beep.,open
LOW,V2,IC111.6;IC122.6,spot-check,Power-off DMM continuity: IC111.6 ↔ IC122.6 should all beep.,open
LOW,V3,IC102.2,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,V4,IC102.11,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,V5,IC102.14,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,V6,IC113.5,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,V7,IC113.14,spot-check,(net has <2 endpoints; nothing to probe),open
LOW,VR0,IC101.9;IC87.18;IC112.3,spot-check,Power-off DMM continuity: IC101.9 ↔ IC87.18; IC101.9 ↔ IC112.3 should all beep.,open
LOW,VR1,IC101.10;IC87.17;IC112.4,spot-check,Power-off DMM continuity: IC101.10 ↔ IC87.17; IC101.10 ↔ IC112.4 should all beep.,open
LOW,VR2,IC101.11;IC87.16;IC112.7,spot-check,Power-off DMM continuity: IC101.11 ↔ IC87.16; IC101.11 ↔ IC112.7 should all beep.,open
LOW,VR3,IC101.13;IC87.15;IC112.8,spot-check,Power-off DMM continuity: IC101.13 ↔ IC87.15; IC101.13 ↔ IC112.8 should all beep.,open
LOW,VR4,IC101.14;IC87.14;IC112.13,spot-check,Power-off DMM continuity: IC101.14 ↔ IC87.14; IC101.14 ↔ IC112.13 should all beep.,open
LOW,VR5,IC101.15;IC87.13;IC112.14,spot-check,Power-off DMM continuity: IC101.15 ↔ IC87.13; IC101.15 ↔ IC112.14 should all beep.,open
LOW,VR6,IC101.16;IC87.12;IC112.17,spot-check,Power-off DMM continuity: IC101.16 ↔ IC87.12; IC101.16 ↔ IC112.17 should all beep.,open
LOW,VR7,IC101.17;IC87.11;IC112.18,spot-check,Power-off DMM continuity: IC101.17 ↔ IC87.11; IC101.17 ↔ IC112.18 should all beep.,open
LOW,VRAM_A0,IC88.7;IC101.8,spot-check,Power-off DMM continuity: IC88.7 ↔ IC101.8 should all beep.,open
LOW,VRAM_A1,IC88.4;IC101.7,spot-check,Power-off DMM continuity: IC88.4 ↔ IC101.7 should all beep.,open
LOW,VRAM_A10,IC113.9;IC101.19,spot-check,Power-off DMM continuity: IC113.9 ↔ IC101.19 should all beep.,open
LOW,VRAM_A2,IC88.9;IC101.6,spot-check,Power-off DMM continuity: IC88.9 ↔ IC101.6 should all beep.,open
LOW,VRAM_A3,IC88.12;IC101.5,spot-check,Power-off DMM continuity: IC88.12 ↔ IC101.5 should all beep.,open
LOW,VRAM_A4,IC102.7;IC101.4,spot-check,Power-off DMM continuity: IC102.7 ↔ IC101.4 should all beep.,open
LOW,VRAM_A5,IC102.4;IC101.3,spot-check,Power-off DMM continuity: IC102.4 ↔ IC101.3 should all beep.,open
LOW,VRAM_A6,IC102.9;IC101.2,spot-check,Power-off DMM continuity: IC102.9 ↔ IC101.2 should all beep.,open
LOW,VRAM_A7,IC102.12;IC101.1,spot-check,Power-off DMM continuity: IC102.12 ↔ IC101.1 should all beep.,open
LOW,VRAM_A8,IC113.7;IC101.23,spot-check,Power-off DMM continuity: IC113.7 ↔ IC101.23 should all beep.,open
LOW,VRAM_A9,IC113.12;IC101.22,spot-check,Power-off DMM continuity: IC113.12 ↔ IC101.22 should all beep.,open
LOW,WR_BAR,IC114.21;IC101.21,spot-check,Power-off DMM continuity: IC114.21 ↔ IC101.21 should all beep.,open
LOW,verify:C18,C18,"AI-added, high confidence 0.85; sheet 1 @ (490,2730)","Locate chip C18 on the PCB and read the printed part number. Expect 'C'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
LOW,verify:IC76,IC76,"AI-added, high confidence 0.85; sheet 2 @ (683,513)","Locate chip IC76 on the PCB and read the printed part number. Expect '2764'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
LOW,verify:R34,R34,"AI-added, high confidence 0.90; sheet 1 @ (622,2617)","Locate chip R34 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
LOW,verify:R35,R35,"AI-added, high confidence 0.90; sheet 1 @ (347,2618)","Locate chip R35 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
LOW,verify:R_LED1,R_LED1,"AI-added, high confidence 0.85; sheet 2 @ (4130,1058)","Locate chip R_LED1 on the PCB and read the printed part number. Expect 'R'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
LOW,verify:X1,X1,"AI-added, high confidence 0.90; sheet 1 @ (470,2525)","Locate chip X1 on the PCB and read the printed part number. Expect 'Crystal'; if different, edit in the explorer (E) or via librarian if the part is not in the library.",open
